Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Transcription Coregulator Binding (GO:0001221),3/99,0.8357639803411686,0.9504115243641122,0,0,0.6521634615384615,0.1170040113774103,ZBTB16;PPARG;FOS
GO_Molecular_Function_2023,Phosphotyrosine Residue Binding (GO:0001784),1/39,0.8386265974020537,0.9517746303848704,0,0,0.5496595106186519,0.0967344279388906,SHE
GO_Molecular_Function_2023,Magnesium Ion Binding (GO:0000287),5/155,0.8411452609562299,0.95274275102369,0,0,0.6951908957415566,0.1202617055656977,PDE2A;PCK1;GEM;DDR2;SNCA
GO_Molecular_Function_2023,Acetylglucosaminyltransferase Activity (GO:0008375),1/40,0.8460076102300123,0.956356428955666,0,0,0.5355375618533513,0.0895562990869809,EXTL1
GO_Molecular_Function_2023,2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706),1/41,0.8530513734395274,0.9605224126130112,0,0,0.5221217105263158,0.08298367853202,BBOX1
GO_Molecular_Function_2023,Signal Sequence Binding (GO:0005048),1/41,0.8530513734395274,0.9605224126130112,0,0,0.5221217105263158,0.08298367853202,KCNIP2
GO_Molecular_Function_2023,Transcription Corepressor Binding (GO:0001222),1/42,0.8597732802124981,0.9642947378069586,0,0,0.5093602909713307,0.0769574901651572,ZBTB16
GO_Molecular_Function_2023,Regulatory RNA Binding (GO:0061980),1/42,0.8597732802124981,0.9642947378069586,0,0,0.5093602909713307,0.0769574901651572,SOX2
GO_Molecular_Function_2023,Single-Stranded RNA Binding (GO:0003727),1/43,0.8661880221285825,0.9695708260342945,0,0,0.4972065580618212,0.0714253520896451,ZFR2
GO_Molecular_Function_2023,Cysteine-Type Endopeptidase Activity (GO:0004197),3/106,0.8678675925341935,0.9695708260342945,0,0,0.6076176250933533,0.0861092117377791,SFRP1;CAPN11;CTSK
GO_Molecular_Function_2023,"Phosphotransferase Activity, Alcohol Group As Acceptor (GO:0016773)",2/77,0.8722518483185374,0.9725693123551724,0,0,0.5565166483717526,0.0760630704116616,PIK3C2G;DGKI
GO_Molecular_Function_2023,Protein Phosphorylated Amino Acid Binding (GO:0045309),1/45,0.8781514577392703,0.9753449200521604,0,0,0.4745564194577352,0.0616620564556643,SHE
GO_Molecular_Function_2023,Proton Transmembrane Transporter Activity (GO:0015078),1/45,0.8781514577392703,0.9753449200521604,0,0,0.4745564194577352,0.0616620564556643,OTOP1
GO_Molecular_Function_2023,Exonuclease Activity (GO:0004527),1/46,0.8837263055461525,0.9758522138463306,0,0,0.4639863547758284,0.0573523665976633,ENPP2
GO_Molecular_Function_2023,Hydro-Lyase Activity (GO:0016836),1/46,0.8837263055461525,0.9758522138463306,0,0,0.4639863547758284,0.0573523665976633,CA4
GO_Molecular_Function_2023,rRNA Binding (GO:0019843),1/46,0.8837263055461525,0.9758522138463306,0,0,0.4639863547758284,0.0573523665976633,CAVIN1
GO_Molecular_Function_2023,Calcium-Dependent Phospholipid Binding (GO:0005544),1/47,0.8890463533082549,0.9798352872684428,0,0,0.4538758581235698,0.0533784805409181,SYT8
GO_Molecular_Function_2023,Manganese Ion Binding (GO:0030145),1/48,0.8941232345418754,0.983535557996063,0,0,0.4441955953714072,0.049710669580871,PCK1
GO_Molecular_Function_2023,Phosphatase Activity (GO:0016791),2/83,0.8976548178609294,0.9850761031912308,0,0,0.5151305714789066,0.0556184801206503,NT5E;CILP
GO_Molecular_Function_2023,Pyrophosphatase Activity (GO:0016462),1/49,0.8989680522129765,0.9850761031912308,0,0,0.4349186769005848,0.0463222237004242,CILP
GO_Molecular_Function_2023,Nuclear Receptor Coactivator Activity (GO:0030374),1/50,0.9035914026695848,0.9882491057877676,0,0,0.4260204081632653,0.0431891007579537,FGF2
GO_Molecular_Function_2023,Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),6/203,0.906012133570797,0.9890056114551448,0,0,0.6343218844967792,0.062609206909693,PREX2;P2RY12;DOCK11;RASGRF2;RGL1;SLC6A2
GO_Molecular_Function_2023,Phosphoric Ester Hydrolase Activity (GO:0042578),1/52,0.9122136933010334,0.993878538225126,0,0,0.4092707258341933,0.0376042050029235,PLCXD3
GO_Molecular_Function_2023,GTPase Activator Activity (GO:0005096),6/211,0.9235483817024276,0.9999953487767658,0,0,0.609309705004437,0.0484596750372158,PREX2;RGS2;ARHGAP20;ALDH1A1;HTR2B;ARHGAP28
GO_Molecular_Function_2023,Protein Serine/Threonine Phosphatase Activity (GO:0004722),1/55,0.9237243954239772,0.9999953487767658,0,0,0.386472547108512,0.0306633213291298,DUSP1
GO_Molecular_Function_2023,"Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides (GO:0016811)",1/56,0.9272158882158934,0.9999953487767658,0,0,0.3794258373205741,0.0286727747211987,ASPA
GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activator Activity (GO:0043539),1/56,0.9272158882158934,0.9999953487767658,0,0,0.3794258373205741,0.0286727747211987,SPRY2
GO_Molecular_Function_2023,SH3 Domain Binding (GO:0017124),1/59,0.9367612473422928,0.9999953487767658,0,0,0.3597436479128856,0.0235009137891643,ADAM12
GO_Molecular_Function_2023,Single-Stranded DNA Binding (GO:0003697),2/96,0.93740370578053,0.9999953487767658,0,0,0.4435854917439334,0.0286739163419473,STON1;JCHAIN
GO_Molecular_Function_2023,DNA Binding (GO:0003677),30/846,0.9419896921568308,0.9999953487767658,0,0,0.760733795216841,0.0454621719975237,CSRNP3;TSHZ2;STON1;MEOX2;MEOX1;FOXO1;JCHAIN;SOX2;PLAGL1;ALX4;HOXA7;TP63;HOXA5;EGR1;EGR2;ZBTB16;PAX3;PROX1;SOX10;FOXP2;MLXIPL;NR4A1;NR4A3;WT1;SNAI2;FOSB;PPARG;ERG;INSM1;DNASE1L3
GO_Molecular_Function_2023,Protein Phosphatase Regulator Activity (GO:0019888),1/61,0.942419417383674,0.9999953487767658,0,0,0.3477156432748538,0.0206212282787273,PTN
GO_Molecular_Function_2023,Histone Deacetylase Binding (GO:0042826),2/99,0.94422488176434,0.9999953487767658,0,0,0.4297984541740695,0.0246665282694225,TAL1;INSM1
